Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Accounts Payable - Number of Feed File Transactions Paid,Number of Feed File Transactions Paid FY16,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/72f3cad3-6c80-4ea5-b661-a38a90f50e7b,2016-06-23T07:03:51.888238,2016-06-30T04:24:36.200415,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,accounts payable,Government reporting and policy,Steven
Accounts Payable - Number of Business Days for Workflow Approved Process FY15,Accounts Payable - Number of Business Days for Workflow Approved Process FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d2bc49c3-9b9d-4f76-bb22-48927f5d9630,2016-06-23T08:20:18.818215,2016-06-30T04:24:10.655424,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Payroll Services - HRPAYP09 NUMBER OF CALLS RECEIVED AT SSSA,Payroll Services - HRPAYP09 NUMBER OF CALLS RECEIVED AT SSSA,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/80984c0c-3d8e-4213-aecd-0530a32709ad,2016-06-27T03:55:28.136905,2016-06-30T04:23:48.371374,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Payroll Services,Government reporting and policy,Steven
Accounts Receivable - Average Call Duration To SSSA,Accounts Receivable - Average Call Duration To SSSA,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/80154e36-959a-4f31-8c3f-aefb7beabc07,2016-06-24T01:26:43.022395,2016-06-30T04:23:15.636559,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Current Debts 91-120 Days Old,Accounts Receivable - Number of Current Debts 91-120 Days Old,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/5e2567bb-0e14-4158-8c92-83002a2df3bd,2016-06-24T01:45:35.507808,2016-06-30T04:22:22.624381,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - Dollar Amount of Late Payment Interest Invoices FY15,Accounts Payable - Dollar Amount of Late Payment Interest Invoices FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/f85725aa-5960-4b9f-8e78-d62639f68c1e,2016-06-23T09:00:39.214384,2016-06-30T04:21:56.180388,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Paid in 5 Business Days FY15,Accounts Payable - Number of Invoices Paid in 5 Business Days FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/4338baaa-3375-4a39-af65-7a0e70bb1336,2016-06-23T08:23:52.047091,2016-06-30T03:04:48.395194,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Receivable - Number of Debtor Reports Made Available in Agreed Timeframes,Accounts Receivable - Number of Debtor Reports Made Available in Agreed Timeframes,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e497d21f-7eae-402e-a34d-22443d2875fa,2016-06-24T01:29:37.740683,2016-06-30T03:04:24.620680,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Cash or Cheque Payments Received,Accounts Receivable - Number of Cash or Cheque Payments Received,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/57632157-b169-4dbd-bf5e-7178d40d9503,2016-06-24T01:27:37.449589,2016-06-30T03:03:28.792823,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Receivable - Number of Cash or Cheque Payments Banked in Agreed Timeframes,Accounts Receivable - Number of Cash or Cheque Payments Banked in Agreed Timeframes,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/af3b785b-f1cc-4caa-b56b-0979fa785efe,2016-06-24T01:32:51.947817,2016-06-30T03:03:09.449099,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - Calls Answered Within 50 Seconds at Shared Services SA Call Centre FY15,Accounts Payable - Calls Answered Within 50 Seconds at Shared Services SA Call Centre FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/eeb72985-feab-4ad2-a792-34e8cf77e80e,2016-06-23T07:57:32.676599,2016-06-30T03:02:52.523297,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Receivable - Number of Month End Close Completed Within Agreed Timeframes,Accounts Receivable - Number of Month End Close Completed Within Agreed Timeframes,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/b49cc8c1-3ebf-414a-9188-464007159602,2016-06-24T01:30:51.270285,2016-06-30T03:02:35.449562,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - Calls Answered Successfully at Shared Services SA Call Centre FY15,Accounts Payable - Calls Answered Successfully at Shared Services SA Call Centre FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/297910d4-663a-4aa5-bcb9-1511577ea51f,2016-06-23T07:56:17.390524,2016-06-30T03:02:16.323911,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Received Within 5 Business Days or Less FY15,Accounts Payable - Number of Invoices Received Within 5 Business Days or Less FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/3c5074c1-c459-4d16-991e-7bc5af1951cf,2016-06-23T08:58:01.047276,2016-06-30T03:01:57.218455,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - TI11 - Number of Invoices Paid within 30 Calendar Days FY15,Accounts Payable - TI11 - Number of Invoices Paid within 30 Calendar Days FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/793733a7-6459-4f91-bef1-a94f2fa096cc,2016-06-23T08:00:02.926335,2016-06-30T03:01:14.058414,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Calls Received at Shared Services SA Call Centre FY15,Accounts Payable - Number of Calls Received at Shared Services SA Call Centre FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e63cfc8c-ba17-4f41-948c-4f3583635db8,2016-06-23T07:53:52.515791,2016-06-30T03:00:55.309679,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Processed Excluding OPR FY15,Accounts Payable - Number of Invoices Processed Excluding OPR FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/c6c2a132-4d87-427f-8114-97c2f272efc6,2016-06-23T08:26:23.301893,2016-06-30T03:00:36.340966,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Disputed FY15,Accounts Payable - Number of Invoices Disputed FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/e5b7f912-fa7f-4c00-98fe-3cd3c9ce96a7,2016-06-23T08:55:56.282989,2016-06-30T03:00:16.617516,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Urgent Manual Cheque Requests Processed FY15,Accounts Payable - Number of Urgent Manual Cheque Requests Processed FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/30a0f44f-03a2-40f4-8808-38f7a0a05430,2016-06-23T07:52:23.319927,2016-06-30T02:58:18.446228,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Receivable - Number of Cash or Cheque Payments Banked in Agreed Timeframes,Accounts Receivable - Number of Cash or Cheque Payments Banked in Agreed Timeframes,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/2ad2945a-899d-4a54-b985-339f15c0a11d,2016-06-24T01:28:32.455132,2016-06-30T02:57:55.731172,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Approved Within 5 Business Days or Less FY15,Accounts Payable - Number of Invoices Approved Within 5 Business Days or Less FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/43b328ce-2d5f-4e00-977a-9b233b0af378,2016-06-23T08:58:48.552867,2016-06-30T02:57:35.249460,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Workflowed FY15,Accounts Payable - Number of Invoices Workflowed FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/ba6db081-e793-418a-b9c4-31ed7d8d5a5c,2016-06-23T08:57:02.511088,2016-06-30T02:57:14.344529,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Late Payment Interest Invoices FY15,Accounts Payable - Number of Late Payment Interest Invoices FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/4a213806-569e-4fa9-850a-e912ec7cf6b5,2016-06-23T08:59:47.356270,2016-06-30T02:56:56.822558,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Invoices Processed in 5 Business Days FY15,Accounts Payable - Number of Invoices Processed in 5 Business Days FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/92f70f86-567e-4d77-8d32-4cd607e064ae,2016-06-23T08:25:08.006805,2016-06-30T02:56:18.082346,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Payable - Number of Business Days for Approved to Paid Process FY15,Accounts Payable - Number of Business Days for Approved to Paid Process FY15,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/b2ac3f6b-b9a9-4c8c-8ee5-8e006143ef27,2016-06-23T08:21:29.594239,2016-06-30T02:55:56.114538,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Payable,Government reporting and policy,Steven
Accounts Receivable - Dollar Amount of Current Unapplied Receipts 0-30 Days Old,Accounts Receivable - Dollar Amount of Current Unapplied Receipts 0-30 Days Old ,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/93358f88-f9f4-4e53-bfdd-7fa297f414dd,2016-06-24T02:00:01.447904,2016-06-30T02:55:35.150950,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Accounts Receivable,Government reporting and policy,Steven
Data.SA Site Analytics,Data.SA Site Analytics by Dataset Usage.,dataset,English,Creative Commons Attribution,active,Hosted,monthly,/dataset/d56bd142-afa0-40b3-a649-5cefb6959e89,2016-06-30T02:25:20.401714,2016-06-30T02:32:20.676414,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,"analytics, data, site usage",Government reporting and policy,Steven
Financial Services - FINFAAB04 NUMBER OF ASSET MOVEMENTS (EXCLUDING DEPRECIATION) - DISPOSALS,Financial Services - FINFAAB04 NUMBER OF ASSET MOVEMENTS (EXCLUDING DEPRECIATION) - DISPOSALS,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/4be3acf7-56ba-47a1-99fa-17ee428205b5,2016-06-29T05:08:17.295053,2016-06-30T02:18:28.244926,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINFAAP01 NUMBER OF RECONCILIATIONS DUE TO BE COMPLETED,Financial Services - FINFAAP01 NUMBER OF RECONCILIATIONS DUE TO BE COMPLETED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/d7e40301-b566-4670-ac3f-1dde8a64908f,2016-06-29T05:17:28.714789,2016-06-29T06:49:59.225048,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINFAAB05 NUMBER OF STOCKTAKES COMPLETED,Financial Services - FINFAAB05 NUMBER OF STOCKTAKES COMPLETED,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/f39e4223-743c-4d8a-a773-832cc6c5f521,2016-06-29T05:09:25.944642,2016-06-29T06:49:00.067399,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINFAAB01 NUMBER OF ASSETS (WITH A UNIQUE ASSET NUMBER) IN THE REGISTER,Financial Services - FINFAAB01 NUMBER OF ASSETS (WITH A UNIQUE ASSET NUMBER) IN THE REGISTER,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/85329cbf-6145-49e6-8559-5f22175d1a2f,2016-06-29T05:05:54.592481,2016-06-29T06:48:06.631755,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
Financial Services - FINFAAB03 NUMBER OF ASSET MOVEMENTS (EXCLUDING DEPRECIATION) - REVALUATIONS,Financial Services - FINFAAB03 NUMBER OF ASSET MOVEMENTS (EXCLUDING DEPRECIATION) - REVALUATIONS,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/663ced88-4c8d-4785-90fa-be4836b3f3a7,2016-06-29T05:07:24.829788,2016-06-29T06:47:04.441902,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Dept of the Premier and Cabinet,Financial Services,Government reporting and policy,Steven
